tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
357,0,50,35,40,363,356,28,30,28,21480,13981,26,24,0,19,281,798,788,798,778,2286,2267
358,0,50,34,40,365,356,28,30,28,21844,12949,24,26,0,19,281,807,787,806,776,2295,2284
359,0,50,33,40,367,356,28,30,28,24422,13180,24,26,0,19,281,796,789,811,774,2309,2296
360,0,50,33,40,367,356,28,30,28,24094,13026,23,27,0,19,281,805,782,821,773,2324,2308
361,0,50,33,39,367,358,28,30,28,25691,12365,23,27,0,19,281,811,780,834,766,2333,2326
362,0,50,33,38,367,360,28,30,28,24525,11916,22,28,0,19,281,796,780,774,778,2349,2338
363,0,50,33,38,367,360,28,29,29,24643,11784,24,26,0,19,281,805,777,782,777,2362,2351
364,0,50,33,37,367,362,28,29,29,26620,11476,24,26,0,19,281,814,776,788,775,2374,2365
365,0,50,32,37,369,362,28,29,29,27296,11430,21,29,0,19,281,824,776,797,771,2392,2376
366,0,50,32,37,364,353,29,31,29,27646,10983,20,30,0,19,281,833,773,807,767,2406,2392
367,0,50,32,37,364,353,29,31,29,27247,10450,19,31,0,19,281,795,776,775,773,2421,2408
368,0,50,32,36,364,355,29,31,29,28041,10619,20,30,0,19,281,802,774,783,771,2433,2426
369,0,50,32,36,364,355,29,31,29,29019,10168,20,30,0,19,281,810,770,793,768,2444,2445
370,0,50,32,35,364,357,29,31,29,28074,10182,20,30,0,19,281,815,770,802,768,2458,2461
371,0,50,32,33,364,361,29,31,30,29601,10270,20,30,0,19,281,818,768,811,763,2474,2475
372,0,50,29,33,365,361,30,31,30,25427,11765,22,28,0,19,281,797,773,782,769,2485,2492
373,0,50,28,33,367,361,30,31,30,21593,12711,23,27,0,19,281,801,771,785,768,2501,2503
374,0,50,28,32,367,363,30,31,30,18768,14142,25,25,0,19,281,811,770,794,765,2511,2518
375,0,50,28,32,367,363,30,31,30,15556,15445,24,26,0,19,281,824,769,795,765,2523,2532
376,0,50,28,32,358,359,32,31,30,12524,16780,25,25,0,19,281,837,769,801,765,2538,2542
377,0,50,28,32,358,359,32,31,30,9967,18087,23,27,0,19,281,801,777,773,771,2557,2550
378,0,50,27,31,360,361,32,31,30,8438,19267,24,26,0,19,281,810,775,776,769,2571,2562
379,0,50,27,30,360,363,32,31,29,11086,17205,23,27,0,19,281,816,773,781,765,2582,2578
380,0,50,26,30,362,363,32,31,29,14562,16852,22,28,0,19,281,824,772,788,760,2594,2594
381,0,50,26,30,362,363,30,31,27,17303,16556,21,29,0,19,281,835,772,796,758,2610,2607
382,0,50,26,29,362,365,30,31,27,20131,15394,22,28,0,19,281,803,775,791,758,2623,2622
383,0,50,26,29,362,365,30,31,27,21040,13084,19,31,0,19,281,810,773,798,756,2640,2636
384,0,50,26,28,362,367,30,31,27,22352,12514,18,32,0,18,282,818,768,804,754,2658,2650
385,0,50,25,28,364,367,30,31,28,23566,12396,18,32,0,17,283,824,768,810,750,2673,2667
386,0,50,25,27,364,369,30,31,28,23999,11631,19,31,0,16,284,831,767,814,747,2695,2676
387,0,50,25,27,359,361,31,33,29,25203,10585,20,30,0,16,284,781,774,769,755,2711,2690
388,0,50,25,25,359,365,30,33,29,25841,10646,16,34,0,16,284,788,774,777,750,2726,2709
389,0,50,25,25,359,365,30,33,29,27041,10168,20,30,0,16,284,791,771,785,747,2743,2722
390,0,50,25,24,359,367,30,33,29,23998,9666,18,32,0,16,284,796,768,796,746,2763,2734
391,0,50,25,23,355,365,31,34,30,19802,11004,18,32,0,16,284,802,764,806,738,2774,2755
392,0,50,25,23,355,365,31,34,30,16730,12449,20,30,0,16,284,757,774,755,748,2784,2775
393,0,50,25,23,355,365,31,34,30,13815,13875,19,31,0,16,284,766,767,756,746,2802,2788
394,0,50,24,23,357,365,31,34,30,10723,15012,20,30,0,16,284,767,765,757,744,2817,2803
395,0,50,24,23,356,365,31,34,29,12611,14052,18,32,0,16,284,774,761,765,742,2831,2821
396,0,50,24,23,352,361,32,35,29,17210,13171,18,32,0,15,285,784,759,770,737,2847,2837
397,0,50,24,23,352,361,32,35,28,19254,12607,19,31,0,15,285,735,767,736,743,2864,2851
398,0,50,24,22,352,363,32,35,28,19797,11942,17,33,0,15,285,739,763,739,742,2885,2863
399,0,50,24,22,352,363,32,35,28,21112,12289,20,30,0,14,286,746,762,742,741,2903,2875
400,0,50,24,22,352,363,32,35,28,21873,12137,21,29,0,14,286,751,761,747,736,2916,2891
401,0,50,24,22,347,354,33,37,27,21706,11371,23,27,0,14,286,761,756,751,735,2928,2906
402,0,50,24,21,346,356,33,37,27,22941,11870,21,29,0,14,286,744,760,733,738,2945,2918
403,0,50,24,21,346,356,33,37,28,22845,11136,21,29,0,13,287,746,757,740,735,2962,2930
404,0,50,24,21,346,356,33,37,28,24194,10886,21,29,0,13,287,751,756,748,730,2973,2948
405,0,50,24,21,346,356,33,36,29,25618,10386,24,26,0,13,287,756,754,756,726,2986,2961
406,0,50,22,21,350,343,33,39,29,24226,10201,26,24,0,13,287,762,752,763,724,2996,2975
407,0,50,22,20,350,345,32,39,29,26355,10367,24,26,0,13,287,738,758,720,732,3013,2984
