tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
35,35,15,278,285,44,30,0,0,35,64,55016,50,0,300,0,0,0,0,0,0,0,0
36,35,15,278,283,44,34,0,0,35,54,56393,50,0,300,0,0,0,0,0,0,0,0
37,35,15,277,283,46,34,0,0,35,47,57789,50,0,300,0,0,0,0,0,0,0,0
38,35,15,274,282,52,36,0,0,35,41,59493,50,0,300,0,0,0,0,0,0,0,0
39,34,16,274,282,52,36,0,0,34,38,60493,50,0,300,0,0,0,0,0,0,0,0
40,34,16,273,281,54,38,0,0,34,36,61500,50,0,300,0,0,0,0,0,0,0,0
41,34,16,273,281,54,38,0,0,34,34,62338,50,0,300,0,0,0,0,0,0,0,0
42,34,16,273,280,54,40,0,0,34,32,63725,50,0,300,0,0,0,0,0,0,0,0
43,32,18,271,279,58,42,0,0,32,30,64482,50,0,300,0,0,0,0,0,0,0,0
44,32,18,270,277,60,46,0,0,32,29,65874,50,0,300,0,0,0,0,0,0,0,0
45,32,18,268,276,64,48,0,0,32,28,67408,50,0,300,0,0,0,0,0,0,0,0
46,32,18,267,276,66,48,0,0,32,27,68743,50,0,300,0,0,0,0,0,0,0,0
47,31,19,266,276,68,48,0,0,31,26,69955,50,0,300,0,0,0,0,0,0,0,0
48,31,19,262,276,76,48,0,0,31,25,70955,50,0,300,0,0,0,0,0,0,0,0
49,31,19,261,274,78,52,0,0,31,23,72065,50,0,300,0,0,0,0,0,0,0,0
50,31,19,260,274,80,52,0,0,31,22,73419,50,0,300,0,0,0,0,0,0,0,0
51,30,20,259,274,82,52,0,0,30,21,74770,50,0,300,0,0,0,0,0,0,0,0
52,30,20,259,274,82,52,0,0,30,21,75873,50,0,300,0,0,0,0,0,0,0,0
53,29,21,257,273,86,54,0,0,29,21,77095,50,0,300,0,0,0,0,0,0,0,0
54,29,21,257,272,86,56,0,0,29,4790,70384,50,0,300,0,0,0,0,0,0,0,0
55,29,21,254,270,92,60,0,0,29,8950,60556,50,0,300,0,0,0,0,0,0,0,0
56,29,21,254,265,92,70,0,0,29,13289,52822,50,0,300,0,0,0,0,0,0,0,0
57,28,22,253,264,94,72,0,0,28,16030,43303,50,0,300,0,0,0,0,0,0,0,0
58,28,22,252,262,96,76,0,0,28,19309,36278,50,0,300,0,0,0,0,0,0,0,0
59,27,23,249,261,102,78,0,0,27,19486,32722,50,0,300,0,0,0,0,0,0,0,0
60,27,23,247,259,106,82,0,0,27,22404,29660,50,0,300,0,0,0,0,0,0,0,0
61,27,23,246,259,108,82,0,0,27,24326,27190,50,0,300,0,0,0,0,0,0,0,0
62,27,23,243,256,114,88,0,0,27,24544,25164,50,0,300,0,0,0,0,0,0,0,0
63,27,23,241,254,118,92,0,0,27,28107,22200,50,0,300,0,0,0,0,0,0,0,0
64,27,23,239,253,122,94,0,0,27,29123,20320,50,0,300,0,0,0,0,0,0,0,0
